scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments,,
JD,35,R1,620,M,,FALSE,FALSE,4,0,8,3,5,No,FALSE,6,3,,No Card,,,
CC,35,B3,422,C,3,FALSE,FALSE,11,2,7,4,6,No,FALSE,"1,2",4,,No Card,,,
EC,35,B1,10224,M,,FALSE,FALSE,10,0,6,3,1,No,FALSE,6,3,,No Card,Funneling system needs work,,
AM,35,R3,5724,C,,FALSE,FALSE,0,4,0,0,7,No,FALSE,"2,6",2,,No Card,,,
BP,35,B2,888,F,,FALSE,FALSE,6,4,0,4,0,No,FALSE,"6,2",4,,No Card,,,
RY,35,R2,686,F,3,TRUE,FALSE,10,6,2,5,7,No,FALSE,"3,6,2,1",3,,No Card,Something weird happened with their auto where they went for a second cycle but did41391t shoot and went right back to NZ. Straight line thief into OZ.,,
AM,36,R3,3258,F,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,5,No Card,,,
EC,36,B1,1731,F,3,FALSE,FALSE,18,8,0,5,6,No,FALSE,2,4,,No Card,Literally fried at the end,,
BP,36,B2,401,C,3,TRUE,FALSE,10,5,2,4,0,No,FALSE,"4,5,6,3,2",4,,No Card,,,
NS,36,R2,1086,F,3,TRUE,FALSE,17,0,5,2,3,No,FALSE,"6,1",3,,No Card,"Shooter got stuck. In the middle of match, attempted passing but briefly",,
CC,36,B3,339,M,,FALSE,FALSE,2,3,3,0,2,No,FALSE,"2,3",3,,No Card,,,
JD,36,R1,11425,M,,FALSE,FALSE,0,3,1,0,0,No,FALSE,2,2,,No Card,,,
NS,37,R2,3136,,3,TRUE,FALSE,20,9,1,5,0,No,FALSE,"3,6",4,,No Card,,,
JD,37,R1,614,M,3,TRUE,FALSE,8,0,6,4,7,F,FALSE,"1,6,2",4,,No Card,,,
CC,37,B3,4099,F,3,FALSE,FALSE,10,4,6,3,6,No,FALSE,"3,6",4,,No Card,,,
AM,37,R3,1895,,,FALSE,FALSE,5,4,4,0,7,No,FALSE,"4,5",3,,No Card,,,
EC,37,B1,3361,M,,FALSE,FALSE,5,4,0,1,1,No,FALSE,"5,4,2",1,,No Card,Slow and mostly ineffective at defense. Dead for first 10 seconds. Also decided to feed the other teams Human Players fuel.,,
BP,37,B2,5338,C,3,FALSE,FALSE,7,3,1,5,0,No,FALSE,"2,6",3,,No Card,,,
