"scout","match","robot","team","start_pos","auto_type","auto_bump","auto_climb","auto_cycles","teleop_trench","teleop_bump","num_cycles","num_cycles_tenths","endgame_climb","climb_less_than_5","inactive_strat","driver_rating","problems","card","comments","auto_climb.1","endgame_climb.1"
"AZ",22,"R1",4020,"C",52,FALSE,FALSE,11,10,0,4,6,"No",FALSE,1,3,NA,"No Card","Had trouble intaking",NA,NA
"HR",22,"R2",7415,"F",4,TRUE,FALSE,13,0,12,5,5,"No",FALSE,236,5,NA,"No Card","They were defended, which got them stuck on bump, teammate helped them",NA,NA
"CR",22,"R3",2393,"M",NA,FALSE,FALSE,1,3,0,1,0,"No",FALSE,6,4,NA,"No Card","They were very slow and shaky",NA,NA
"AD",23,"B1",10034,"M",1,FALSE,FALSE,3,0,9,3,5,"No",FALSE,62,3,NA,"No Card","Got rammed pretty hard, broke their intake off",NA,NA
"AW",23,"B2",2590,"C",34,TRUE,FALSE,2,2,6,2,0,"No",FALSE,12,3,"6","No Card","Browning out the last ~20 seconds of the match, slowww intake",NA,NA
"SBS",23,"B3",5913,"F",56,FALSE,FALSE,20,6,6,7,3,"No",FALSE,16,4,NA,"No Card",":checkmark:",NA,NA
"AZ",23,"R1",1533,"F",NA,FALSE,FALSE,0,0,0,0,0,"No",FALSE,NA,1,"1","No Card","No auto no movement",NA,NA
"HR",23,"R2",7840,"C",5,FALSE,FALSE,0,7,3,1,3,"No",FALSE,45,4,NA,"No Card","Did good defense, auto got caught on trench",NA,NA
"CR",23,"R3",11242,NA,NA,FALSE,FALSE,2,0,8,0,1,"No",TRUE,24,4,NA,"No Card","Flip climb, effective at bulldozing",NA,NA
"AD",24,"B1",10980,"C",34,TRUE,FALSE,10,3,3,7,0,"No",FALSE,26,4,NA,"No Card","Vertical extension dumper, always fills hopper to full in neutral zone and dumps them at trench",NA,NA
"AW",24,"B2",4469,"F",5,FALSE,FALSE,7,6,5,2,0,"No",FALSE,61,3,NA,"No Card","Hopper looks fragile(kept getting twisted up when hit) very susceptible to defense",NA,NA
"SBS",24,"B3",4087,"C",6,FALSE,FALSE,10,5,3,4,5,"No",FALSE,61,2,NA,"No Card","Turret w shoot on the move",NA,NA
"AZ",24,"R1",111,"F",NA,FALSE,FALSE,4,0,8,4,5,"No",FALSE,61,4,NA,"No Card","Low bps",NA,NA
"HR",24,"R2",5181,"C",56,TRUE,FALSE,15,6,2,2,0,"No",FALSE,46,3,NA,"No Card","Played okay defense",NA,NA
"CR",24,"R3",10991,"F",3,FALSE,FALSE,5,6,0,3,0,"No",FALSE,26,4,NA,"No Card","Very small hopper",NA,NA
"AD",25,"B1",931,"M",NA,FALSE,FALSE,3,0,2,0,5,"No",FALSE,5,1,"24","No Card","Climbed in auto, went over bump and couldn41391t build enough speed to get back over",NA,NA
"AW",25,"B2",11244,"C",3,FALSE,FALSE,0,2,3,0,0,"No",FALSE,6,2,"7","No Card","Shooter broken, foul during auto, bad piece. security, passed .  couple tim. s through outtaking, kept trying toshooteventhough shooter wasn41391t working",NA,NA
"SBS",25,"B3",3544,NA,5,FALSE,FALSE,5,12,0,1,0,"No",FALSE,13,1,NA,"No Card","Lots of passing and something was wrong with shooting but general poor driving",NA,NA
"AZ",25,"R1",4322,"C",5,FALSE,FALSE,13,3,7,5,4,"No",FALSE,13,5,NA,"No Card","Good but low bps",NA,NA
"HR",25,"R2",6911,"F",3,FALSE,FALSE,10,10,0,4,7,"No",FALSE,16,3,NA,"No Card","Kinda mid",NA,NA
"CR",25,"R3",5577,"M",NA,FALSE,FALSE,2,9,0,3,0,"No",FALSE,123,4,NA,"No Card","Repeatedly got stuck on trench",NA,NA
"AD",26,"B1",5705,"C",NA,FALSE,FALSE,0,8,0,0,0,"No",FALSE,542,3,NA,"No Card","Intake broken, did not shoot",NA,NA
"AW",26,"B2",3501,"M",4,TRUE,FALSE,10,0,6,4,0,"No",FALSE,16,3,"3","No Card","Didn41391t move for the first ~30 seconds in teleop",NA,NA
